paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,L10_0,0.302,0.127,2.377,0.017,Categorical.Latent.Variables
New.Additional.Parameters,L10_13,0.874,0.18,4.87,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_0,-1.039,0.164,-6.347,0,Categorical.Latent.Variables
New.Additional.Parameters,L11_13,1.89,0.23,8.221,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_0,-1.218,0.101,-12.075,0,Categorical.Latent.Variables
New.Additional.Parameters,L12_11,0.761,0.208,3.668,0,Categorical.Latent.Variables
New.Additional.Parameters,L13_0,-0.62,0.214,-2.892,0.004,Categorical.Latent.Variables
New.Additional.Parameters,L13_11,2.259,1.449,1.559,0.119,Categorical.Latent.Variables
New.Additional.Parameters,L13_14,5.01,1.652,3.033,0.002,Categorical.Latent.Variables
New.Additional.Parameters,L13_214,-0.739,3.963,-0.187,0.852,Categorical.Latent.Variables
New.Additional.Parameters,L14_0,-3.704,0.934,-3.966,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_11,3.439,1.703,2.019,0.043,Categorical.Latent.Variables
New.Additional.Parameters,L14_14,3.885,0.956,4.063,0,Categorical.Latent.Variables
New.Additional.Parameters,L14_214,-1.588,1.702,-0.933,0.351,Categorical.Latent.Variables
New.Additional.Parameters,L15_0,-4.543,0.871,-5.217,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_11,3.924,1.463,2.682,0.007,Categorical.Latent.Variables
New.Additional.Parameters,L15_14,4.176,0.897,4.655,0,Categorical.Latent.Variables
New.Additional.Parameters,L15_214,-2.24,1.347,-1.662,0.096,Categorical.Latent.Variables
New.Additional.Parameters,L16_0,-0.989,0.148,-6.671,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_11,1.364,0.204,6.688,0,Categorical.Latent.Variables
New.Additional.Parameters,L16_14,0.258,0.249,1.037,0.3,Categorical.Latent.Variables
New.Additional.Parameters,L16_214,-0.257,0.249,-1.035,0.301,Categorical.Latent.Variables
New.Additional.Parameters,L17_0,-1.258,0.111,-11.358,0,Categorical.Latent.Variables
New.Additional.Parameters,L17_11,1.845,0.216,8.532,0,Categorical.Latent.Variables
New.Additional.Parameters,L18_0,-0.786,0.205,-3.834,0,Categorical.Latent.Variables
New.Additional.Parameters,L18_12,0.52,0.449,1.158,0.247,Categorical.Latent.Variables
New.Additional.Parameters,L18_14,0.489,0.331,1.477,0.14,Categorical.Latent.Variables
New.Additional.Parameters,L18_224,-0.071,0.555,-0.128,0.898,Categorical.Latent.Variables
New.Additional.Parameters,L19_0,-2.192,0.194,-11.277,0,Categorical.Latent.Variables
New.Additional.Parameters,L19_11,0.461,0.554,0.831,0.406,Categorical.Latent.Variables
New.Additional.Parameters,L19_12,0.126,0.415,0.303,0.762,Categorical.Latent.Variables
New.Additional.Parameters,L19_212,1.064,0.663,1.604,0.109,Categorical.Latent.Variables
New.Additional.Parameters,L20_0,-2.453,0.435,-5.632,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_12,2.37,0.603,3.927,0,Categorical.Latent.Variables
New.Additional.Parameters,L20_14,1.14,0.623,1.83,0.067,Categorical.Latent.Variables
New.Additional.Parameters,L20_224,0.855,0.79,1.083,0.279,Categorical.Latent.Variables
New.Additional.Parameters,L21_0,-0.672,0.29,-2.317,0.02,Categorical.Latent.Variables
New.Additional.Parameters,L21_12,1.943,0.754,2.578,0.01,Categorical.Latent.Variables
New.Additional.Parameters,L21_14,0.511,0.521,0.979,0.327,Categorical.Latent.Variables
New.Additional.Parameters,L21_224,1.502,1.612,0.932,0.351,Categorical.Latent.Variables
New.Additional.Parameters,L22_0,-0.6,0.291,-2.063,0.039,Categorical.Latent.Variables
New.Additional.Parameters,L22_12,1.932,0.712,2.712,0.007,Categorical.Latent.Variables
New.Additional.Parameters,L22_14,0.708,0.556,1.274,0.203,Categorical.Latent.Variables
New.Additional.Parameters,L22_224,1.436,1.377,1.043,0.297,Categorical.Latent.Variables
New.Additional.Parameters,L23_0,-0.848,0.095,-8.89,0,Categorical.Latent.Variables
New.Additional.Parameters,L23_11,1.556,0.245,6.354,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_0,-2.178,0.278,-7.827,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_11,0.387,0.461,0.841,0.401,Categorical.Latent.Variables
New.Additional.Parameters,L24_12,1.49,0.416,3.583,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_212,0.748,0.481,1.553,0.12,Categorical.Latent.Variables
New.Additional.Parameters,L25_0,-0.997,0.144,-6.901,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_11,1.08,0.588,1.836,0.066,Categorical.Latent.Variables
New.Additional.Parameters,L25_12,1.161,0.264,4.393,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_212,0.047,0.711,0.066,0.948,Categorical.Latent.Variables
New.Additional.Parameters,L26_0,-2.491,0.123,-20.31,0,Categorical.Latent.Variables
New.Additional.Parameters,L26_13,0,0,100,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_0,-1.486,0.121,-12.253,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_11,1.68,0.198,8.491,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_0,-1.292,0.185,-6.986,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_11,2.567,0.584,4.393,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_12,1.571,0.287,5.465,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_212,-1.234,0.642,-1.921,0.055,Categorical.Latent.Variables
